user_steamid	appid
87d936b75a6c31c8c7841b1ce747d18f	204360
81296ce41c8cb0563261ada7b4628a68	234670
44ec4caad235f1bd4006e20cf8dd87bc	582160
79fe5c38bb5acd22c4594aa57797f56a	530890
0a2c1571eba826fb564e6115d56649ab	333600
b02dccfbc44a63f067384ed7a04473bc	105600
878e101e65d166e24e082bda4d9a9abb	241930
69abee5c1470ad2e999340697ab0cf81	730
318cb8acf22ba46000b010531a83dbb7	232090
c93a1c1b470777e7addd5b81bff389c6	292030
91918b4d71c90f483c0f5a0c4453c0e9	367500
015eaa68b5b15dd4f0ca9c46054a9388	233720
02fa754b330c9db340dbd0672a1fc824	578080
8479a95636dcc4e61bff2fba762166f7	499620
f8eeeb899bf888f88bf860fa97a4ebb9	374320
8779ef4c243c58f7e9a5c0180f9e3919	601510
d9dbaffa43e756a5bc7ce63e27c643ac	105600
77fc84f8f1b42fe0b507762f7dd36981	306130
bf9699187886d92e738687d06b9ceb7a	431960
b33cda151e4d594598c78a28acfaf215	230410
9d285ec2dc5deddc673cc666f688ebc9	55140
e0a2b05ce7e484585b61aef5585c9ffa	384300
af527d8597fc76ce8678e5ca43523665	274520
46c46e7552199cb835e1456db5062904	203140
46c46e7552199cb835e1456db5062904	307780
90aa592e0b7fcce2db690ca5f6b5b7a7	222440
d06139a1547bc0c4202e77a35fbe398a	374320
de0411752c2363b09635e430cb65b595	587620
75cf5ff74dcdbe615a6fa9c695afcb74	391220
90e9a8932603c3217eae7e79d8f2200f	209080
90e9a8932603c3217eae7e79d8f2200f	292620
90e9a8932603c3217eae7e79d8f2200f	366220
90e9a8932603c3217eae7e79d8f2200f	219740
90e9a8932603c3217eae7e79d8f2200f	400170
59fa1e9993269f839455d569a6191d36	797470
dc1d1ce5b556ed74bba2b94531596c23	500
dc1d1ce5b556ed74bba2b94531596c23	99900
e8fea8895daff4fe50a79a2cd90c4883	225020
2dca214d6f91c17ace07f98f7b44c573	208650
807e763ba4b7fdaf1da1646039c8445f	271590
007d2e5e12caa8f521a7b70d0ff8f102	221100
c7bca2437d6e11d0c817e7a2b7248266	359550
bad2814cbe98118d55b814b96b5c8e1e	582160
77082ae22c2d1f314332c61dde0a3ba9	442080
0f3919ac7ad32b27eb628e2dab3ee0e8	292030
c23ba1d3f151f6ea557ea9c3cbec2010	619080
53f84211fd617347a7d565025c67b82a	271590
f64808c0b76907d84bdef7981ce4384a	359550
cc033b415a1e8b72f4ec10a4f8181aa5	730
3e98fcc0023f9dd689c59897ecf10bdf	431960
160a54740c4a73e3dd819fcfecb793bd	273350
aa64c41ee47b0da84d3b024c0fcfc490	203160
377ecdf52bf4b84a75c8290c01923ad2	477160
5b7156555977d2529cf877f2ad996852	350080
7e112aca34691c7caa3a74f5df7d7ff2	578080
377f4983399d2644686db7be1814fbf6	611660
8fa9f20b2651ca4ebaffc6fc8056fd40	271590
13cd811246853ac9d5e1b8d26075928e	632350
40a97cbfeda680c7e99d8eb44d741922	379430
fefa1e5bad110fa6c9d08cc8d567e379	364360
f778d64ad9ff21c1bcb32579e285a88f	578080
3226a3b71c063cc58a02479441f22079	255710
c1935e61b6e00b9d6e2684a36f843f35	271590
42c28bd3e6842a4bec72e04b0c1a2324	413150
645dbb05e94a7bf76ade4cdd8188f6ac	12110
645dbb05e94a7bf76ade4cdd8188f6ac	243470
eb44dde2f044e959ad6b446fb561248b	359550
fb6bd31b016cfc7f76c2cbb125aea238	674750
fa59002db1e63c6ae30aae618c75703c	578080
8c0c179c823a0e6757ada8574686bc2a	448480
2d1da5a730bcdabf3b6614b9589e020d	286160
49c9d96c9098fef010ed6bb03e2c78b3	431960
49c9d96c9098fef010ed6bb03e2c78b3	524220
34d8215398152a11c9ca325bd0d5fd60	99300
982ecc38ce8a8e747ee18ed34f014727	730
271140f187e1f69e04bceb32ca12cb2f	12210
6ed99bfd09a27fa775926702232be631	227300
6ed99bfd09a27fa775926702232be631	252530
373c1917f0e1bb8f49be4823280c3400	365590
711084c0e57bf1ec65e59b5f4f5da4b9	403640
e5ac9330de125431e5d522f0c53c98e6	619080
7cb29b77f9e59f4526c00f0c33f98b37	271590
7ca6bd490fa4182333ce2f97afc3df1f	292030
3f4ec296e03dc3d14c8c968b3ab4f591	730
f0384b61966bd8d9e896859803144924	391220
e6a0fa3a9e2973715e8334a26ebcf4eb	730
07b67c20c6baa3b64aea6a56f9eb7cd4	391220
8f7fb005f11be8e6bfa0e035491bccc7	354140
be38356031651c2a94708b22961bd903	730
e1e14a7a0f51bc1b40f8b762ef5cd668	242960
e8b4af019a773e4f7dfc9532cbf70231	292030
f35959cc34c874dbbd8d8262022126f7	289520
95dd6c99ae58ce3a790d3efcbb70a10f	578080
3d97f32e08c77f706b1d84c3927bd449	555570
4bbd1ab73bffdadc1abf3a7a65218833	321040
0b865b3e599575d5d2ac060ee5ecf29e	311210
e069861695c2d4364bd8042439098592	453480
eeb59a402f5a1c3fbf0ceabd80988417	287700
4f630236c4aeabaaf2f5b5c9a59f6210	238960
8231220cd3442e7ed872f1bfd5679fec	444090
8f2c223c9c62594064298f4f397a06fd	748490
44bac39d33aa552b7c091888d68de1f6	460930
a11b366d253ce2e0e8ae8273321bb909	431960
e81552273f90bea1aea6d755d372b592	359550
41138e5259eb73d4b67eb5bc1e1c7e4f	578080
c810de3dfa496a4554cfbaa848f81db9	389730
d7a3475467a148641f4baa3ec6b43632	578080
9dad82bb41d9078fb1cff497e86fe489	359550
75998d484673d5658e7d43702c5439f3	550
75998d484673d5658e7d43702c5439f3	212910
75998d484673d5658e7d43702c5439f3	359550
fb07cc5b56176a76b43ef91628eb8abd	311210
c23bd778e4b36bc29866bed3e8b60cf7	271590
0d300ac39b4439e4a200cbc07ac10f34	233270
3a8249cbbb9c840a5af7c33824b87698	8930
e8c4545a608751ba137b233558f3329b	623990
df2ba92f324692158ea537cc55b80d0f	289690
7b8c74cabb3573b14540ce80a2a4b70b	705120
165a59859397c5303f919cd3620b05b6	319630
9c65c2508c031cc4293e6dc0011e5ac9	447020
0bb372f2ebb0876aa639fdcf18c1b14d	307670
4530c78d54ca4b917f824924a4fe3834	379430
ce1005de11aade9b24070dbdb4a6ce35	675010
f9023341531720180239146add62c831	222750
b5b7e9adf4036371d2b80c0513d32756	721030
34572ea4faad4b0691649fad926bb97c	312660
e0963234df050e42b35ba8a55f8af8cf	730
4bdc5c7ff174744f37fbc59249dccc21	333930
2b466918454bb5fbc5fdf3c34ccf7fe8	589290
1792fa7727dd3bf96060e5df724db240	730
6e1f2f94972b3cbfabe21f08b767d7d7	218620
430f775295480d87934c43b7588a4161	730
591e63d4a95a6a41becdfa776d0f9eab	730
7c252834a9a79767a8407c03e664b821	221040
7c252834a9a79767a8407c03e664b821	281940
48896677859dd14befbe5610ce1b78b3	230410
29aeabfd92e23924ff52d7d244a8a033	26900
c79115968cc22616b807c078439c40d4	227300
174d7170b041dc5e6bafa56768566d09	730
a2c151eaedc95959b7af9498994c9329	485040
b8156e62e25d0494165b6288bf60734b	304390
d132c4c2db8bf4a26ba6ecf4fe22e65f	379720
7895ea82080c09f0853c4bbf81d72cab	582160
d0998feb00f49b8fce9be3cafd55376c	379430
11e447fc501c156ad459d40d07877069	550
11e447fc501c156ad459d40d07877069	228380
78cc9df48799da7290566c178dc4a0b9	485510
b52176eb621dcae4fe31f54cc9f4308f	518790
44ec4caad235f1bd4006e20cf8dd87bc	628070
bad2814cbe98118d55b814b96b5c8e1e	292030
160a54740c4a73e3dd819fcfecb793bd	377160
aa64c41ee47b0da84d3b024c0fcfc490	611660
5b7156555977d2529cf877f2ad996852	578080
34d8215398152a11c9ca325bd0d5fd60	211160
7ca6bd490fa4182333ce2f97afc3df1f	524220
8f7fb005f11be8e6bfa0e035491bccc7	506610
a11b366d253ce2e0e8ae8273321bb909	271590
75998d484673d5658e7d43702c5439f3	218620
4bdc5c7ff174744f37fbc59249dccc21	334230
1792fa7727dd3bf96060e5df724db240	222880
a2c151eaedc95959b7af9498994c9329	719430
b02dccfbc44a63f067384ed7a04473bc	359550
d9dbaffa43e756a5bc7ce63e27c643ac	447040
bf9699187886d92e738687d06b9ceb7a	322330
af527d8597fc76ce8678e5ca43523665	438740
